dptmt.0.001*codeinseecommune superficie(hectare) x y nombred'inscrits nombredevotants nombredebulletinexprimés nomsansblancavecunders
1.328 2232 8076 21279 363 260 253 ROMANS
1.329 807 8530 20976 158 119 115 ROSSILLON
1.33 1403 8576 21159 169 136 125 RUFFIEU
1.331 808 8409 21265 124 84 82 SAINT-ALBAN
1.332 270 7992 21479 427 272 266 SAINT-ANDRE-DE-BAGE
1.334 900 7987 21381 346 225 222 SAINT-ANDRE-D'HUIRIAT
1.335 932 8119 21278 213 177 175 SAINT-ANDRE-LE-BOUCHOUX
1.336 2422 8170 21324 795 540 515 SAINT-ANDRE-SUR-VIEUX-JONC
1.337 1649 8025 21633 774 546 527 SAINT-BENIGNE
1.338 2165 8532 20824 548 425 414 SAINT-BENOIT
1.339 315 7861 21078 1056 740 719 SAINT-BERNARD
1.34 942 8573 20833 109 95 93 SAINT-BOIS
1.341 514 8641 20918 132 103 99 SAINT-CHAMP
1.342 1062 8107 21030 368 238 236 SAINTE-CROIX
1.343 1693 8032 21451 1148 806 773 SAINT-CYR-SUR-MENTHON
1.344 1258 8203 21373 4180 2903 2813 SAINT-DENIS-LES-BOURG
1.345 261 8320 21102 1499 893 804 SAINT-DENIS-EN-BUGEY
1.346 1522 8098 21488 583 425 416 SAINT-DIDIER-D'AUSSIAT
1.347 653 7894 21092 1325 1027 1013 SAINT-DIDIER-DE-FORMANS
1.348 2498 7915 21338 1873 1235 1209 SAINT-DIDIER-SUR-CHALARONNE
1.349 1426 8183 21076 342 229 218 SAINT-ELOI
1.35 2838 8278 21474 1800 1145 1064 SAINT-ETIENNE-DU-BOIS
1.351 2099 7954 21305 922 669 650 SAINT-ETIENNE-SUR-CHALARONNE
1.352 1382 8048 21605 369 292 271 SAINT-ETIENNE-SUR-REYSSOUZE
1.353 461 7907 21110 916 658 639 SAINTE-EUPHEMIE
1.354 977 8841 21448 3705 2041 1976 SAINT-GENIS-POUILLY
1.355 1155 8059 21460 309 233 229 SAINT-GENIS-SUR-MENTHON
1.356 566 8084 21264 131 98 96 SAINT-GEORGES-SUR-RENON
1.357 1127 8626 21365 294 209 194 SAINT-GERMAIN-DE-JOUX
1.358 1627 8552 20912 288 233 226 SAINT-GERMAIN-LES-PAROISSES
1.359 1580 8104 21237 180 147 141 SAINT-GERMAIN-SUR-RENON
1.36 1236 8789 21411 803 528 505 SAINT-JEAN-DE-GONVILLE
1.361 1419 8238 20974 1046 759 745 SAINT-JEAN-DE-NIOST
1.362 1600 7973 21090 449 361 343 SAINT-JEAN-DE-THURIGNEUX
1.363 1533 8363 21188 1214 734 691 SAINT-JEAN-LE-VIEUX
1.364 2748 8096 21588 501 382 372 SAINT-JEAN-SUR-REYSSOUZE
1.365 1121 7988 21430 839 612 574 SAINT-JEAN-SUR-VEYLE
1.366 1115 8283 21031 563 359 348 SAINTE-JULIE
1.367 752 8133 21595 428 303 294 SAINT-JULIEN-SUR-REYSSOUZE
1.368 984 8020 21369 473 320 294 SAINT-JULIEN-SUR-VEYLE
1.369 338 8272 21365 699 411 403 SAINT-JUST
1.37 53 7928 21481 860 492 449 SAINT-LAURENT-SUR-SAONE
1.371 1164 8055 21088 755 427 410 SAINT-MARCEL
1.373 1914 8484 21316 709 544 531 SAINT-MARTIN-DU-FRENE
1.374 2809 8313 21268 1142 774 755 SAINT-MARTIN-DU-MONT
1.375 1277 8141 21462 542 380 353 SAINT-MARTIN-LE-CHATEL
1.376 699 8050 20957 2347 1389 1352 SAINT-MAURICE-DE-BEYNOST
1.378 2539 8221 20953 1650 1189 1152 SAINT-MAURICE-DE-GOURDANS
1.379 1035 8278 21107 487 385 374 SAINT-MAURICE-DE-REMENS
1.38 2830 8161 21660 519 403 399 SAINT-NIZIER-LE-BOUCHOUX
1.381 2496 8175 21212 521 375 364 SAINT-NIZIER-LE-DESERT
1.382 739 8011 21165 244 152 150 SAINTE-OLIVE
1.383 2597 8158 21259 969 642 612 SAINT-PAUL-DE-VARAX
1.384 2855 8404 21101 1342 876 841 SAINT-RAMBERT-EN-BUGEY
1.385 738 8185 21361 684 515 504 SAINT-REMY
1.386 907 8354 21029 770 615 606 SAINT-SORLIN-EN-BUGEY
1.387 526 8083 21503 99 81 79 SAINT-SULPICE
1.388 1653 8108 21659 702 557 540 SAINT-TRIVIER-DE-COURTES
1.389 4199 7981 21225 1278 810 767 SAINT-TRIVIER-SUR-MOIGNANS
1.39 2144 8295 20969 615 450 436 SAINT-VULBAS
1.391 777 8315 21559 263 184 183 SALAVRE
1.392 1401 8497 21449 431 311 296 SAMOGNAT
1.393 2902 8046 21216 380 270 258 SANDRANS
1.396 561 8386 20997 661 407 383 SAULT-BRENAZ
1.397 189 8909 21531 638 316 308 SAUVERNY
